s,o,p,model,weight
ex:issuing_for127,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for128,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for129,ex:issuer48,ex:domain_knowledge,,1.0
ex:issuing_for129,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for129,ex:issuer58,ex:domain_knowledge,,1.0
ex:issuing_for130,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for131,ex:issuer110,ex:domain_knowledge,,1.0
ex:issuing_for131,ex:issuer111,ex:domain_knowledge,,1.0
ex:issuing_for132,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for132,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for134,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for135,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for135,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for135,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for136,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for136,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for137,ex:issuer216,ex:domain_knowledge,,1.0
ex:issuing_for138,ex:issuer94,ex:domain_knowledge,,1.0
ex:issuing_for138,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for139,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for139,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for140,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for140,ex:issuer93,ex:domain_knowledge,,1.0
ex:issuing_for141,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for141,ex:issuer94,ex:domain_knowledge,,1.0
ex:issuing_for141,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for142,ex:issuer127,ex:domain_knowledge,,1.0
ex:issuing_for142,ex:issuer257,ex:domain_knowledge,,1.0
ex:issuing_for143,ex:issuer74,ex:domain_knowledge,,1.0
ex:issuing_for143,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for144,ex:issuer261,ex:domain_knowledge,,1.0
ex:issuing_for145,ex:issuer261,ex:domain_knowledge,,1.0
ex:issuing_for146,ex:issuer266,ex:domain_knowledge,,1.0
ex:issuing_for147,ex:issuer257,ex:domain_knowledge,,1.0
ex:issuing_for148,ex:issuer97,ex:domain_knowledge,,1.0
