s,p,o
ex:issuing_for_134,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_136,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_136,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_137,ex:domain_knowledge,ex:issuer_216
ex:issuing_for_138,ex:domain_knowledge,ex:issuer_94
ex:issuing_for_138,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_139,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_139,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_140,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_140,ex:domain_knowledge,ex:issuer_93
ex:issuing_for_141,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_141,ex:domain_knowledge,ex:issuer_94
ex:issuing_for_141,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_142,ex:domain_knowledge,ex:issuer_127
ex:issuing_for_142,ex:domain_knowledge,ex:issuer_257
ex:issuing_for_143,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_143,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_144,ex:domain_knowledge,ex:issuer_261
ex:issuing_for_145,ex:domain_knowledge,ex:issuer_261
ex:issuing_for_146,ex:domain_knowledge,ex:issuer_266
ex:issuing_for_147,ex:domain_knowledge,ex:issuer_257
ex:issuing_for_148,ex:domain_knowledge,ex:issuer_97
ex:issuing_for_148,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_148,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_149,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_149,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_150,ex:domain_knowledge,ex:issuer_70
ex:issuing_for_150,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_151,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_151,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_152,ex:domain_knowledge,ex:issuer_70
ex:issuing_for_153,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_154,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_155,ex:domain_knowledge,ex:issuer_48
ex:issuing_for_155,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_156,ex:domain_knowledge,ex:issuer_48
ex:issuing_for_157,ex:domain_knowledge,ex:issuer_275
ex:issuing_for_161,ex:domain_knowledge,ex:issuer_286
ex:issuing_for_162,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_162,ex:domain_knowledge,ex:issuer_231
ex:issuing_for_163,ex:domain_knowledge,ex:issuer_106
ex:issuing_for_163,ex:domain_knowledge,ex:issuer_107
ex:issuing_for_163,ex:domain_knowledge,ex:issuer_289
ex:issuing_for_163,ex:domain_knowledge,ex:issuer_296
ex:issuing_for_166,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_167,ex:domain_knowledge,ex:issuer_109
ex:issuing_for_167,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_167,ex:domain_knowledge,ex:issuer_296
ex:issuing_for_168,ex:domain_knowledge,ex:issuer_235
