s,p,o
ex:coin_17839,nmo:hasPortrait,ex:uncertain
ex:person_190,ex:hasPossibleIssuers,ex:issuer_106
ex:person_26,ex:hasPossibleIssuers,ex:issuer_106
ex:person_26,ex:hasPossibleIssuers,ex:issuer_107
ex:person_26,ex:hasPossibleIssuers,ex:issuer_269
ex:person_26,ex:hasPossibleIssuers,ex:issuer_288
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_26
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_163
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_187
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_190
ex:issuer_106,ex:inPossibleIssuersOf,ex:person_198
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_26
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_163
ex:issuer_107,ex:inPossibleIssuersOf,ex:person_187
ex:person_163,ex:hasPossibleIssuers,ex:issuer_106
ex:person_163,ex:hasPossibleIssuers,ex:issuer_107
ex:person_163,ex:hasPossibleIssuers,ex:issuer_289
ex:person_163,ex:hasPossibleIssuers,ex:issuer_296
ex:person_187,ex:hasPossibleIssuers,ex:issuer_106
ex:person_187,ex:hasPossibleIssuers,ex:issuer_107
ex:person_187,ex:hasPossibleIssuers,ex:issuer_109
ex:person_187,ex:hasPossibleIssuers,ex:issuer_288
ex:person_187,ex:hasPossibleIssuers,ex:issuer_296
ex:person_198,ex:hasPossibleIssuers,ex:issuer_106
ex:person_198,ex:hasPossibleIssuers,ex:issuer_289
ex:person_198,ex:hasPossibleIssuers,ex:issuer_296
ex:coin_6559,nmo:hasIssuer,ex:issuer_131
ex:coin_6559,nmo:hasIssuer,ex:issuer_151
ex:coin_6559,nmo:hasIssuer,ex:uncertain
ex:coin_6559,nmo:hasPortrait,ex:person_34
ex:coin_6559,nmo:hasPortrait,ex:person_120
ex:coin_6559,nmo:hasPortrait,ex:uncertain
ex:person_34,ex:hasPossibleIssuers,ex:issuer_151
ex:person_34,ex:hasPossibleIssuers,ex:issuer_161
ex:person_120,ex:hasPossibleIssuers,ex:issuer_151
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_31
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_42
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_34
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_39
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_40
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_41
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_43
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_120
ex:person_31,ex:hasPossibleIssuers,ex:issuer_131
ex:person_31,ex:hasPossibleIssuers,ex:issuer_281
ex:person_42,ex:hasPossibleIssuers,ex:issuer_131
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152
ex:person_40,ex:hasPossibleIssuers,ex:issuer_151
ex:person_40,ex:hasPossibleIssuers,ex:issuer_152
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152
ex:coin_14761,nmo:hasIssuer,ex:issuer_151
ex:coin_14761,nmo:hasIssuer,ex:issuer_161
ex:coin_14761,nmo:hasIssuer,ex:uncertain
ex:coin_14761,nmo:hasPortrait,ex:person_120
ex:coin_14761,nmo:hasPortrait,ex:person_70
ex:coin_14761,nmo:hasPortrait,ex:uncertain
ex:person_70,ex:hasPossibleIssuers,ex:issuer_59
ex:issuer_161,ex:inPossibleIssuersOf,ex:person_34
