s,p,o
ex:coin_15480,nmo:hasIssuer,ex:issuer_131
ex:coin_15480,nmo:hasIssuer,ex:issuer_154
ex:coin_15480,nmo:hasPortrait,ex:person_41
ex:coin_15540,nmo:hasIssuer,ex:issuer_131
ex:coin_15540,nmo:hasIssuer,ex:issuer_154
ex:coin_15540,nmo:hasPortrait,ex:person_40
ex:coin_15541,nmo:hasIssuer,ex:issuer_154
ex:coin_15541,nmo:hasIssuer,ex:issuer_131
ex:coin_15541,nmo:hasPortrait,ex:person_40
ex:coin_15542,nmo:hasIssuer,ex:issuer_131
ex:coin_15542,nmo:hasIssuer,ex:issuer_154
ex:coin_15542,nmo:hasPortrait,ex:person_40
ex:coin_15543,nmo:hasIssuer,ex:issuer_154
ex:coin_15543,nmo:hasIssuer,ex:issuer_131
ex:coin_15543,nmo:hasPortrait,ex:person_40
ex:coin_15544,nmo:hasIssuer,ex:issuer_131
ex:coin_15544,nmo:hasIssuer,ex:issuer_154
ex:coin_15544,nmo:hasPortrait,ex:person_41
ex:coin_15603,nmo:hasIssuer,ex:issuer_131
ex:coin_15603,nmo:hasIssuer,ex:issuer_154
ex:coin_15603,nmo:hasPortrait,ex:person_40
ex:coin_15611,nmo:hasIssuer,ex:issuer_131
ex:coin_15611,nmo:hasIssuer,ex:issuer_154
ex:coin_15611,nmo:hasPortrait,ex:person_40
ex:coin_15630,nmo:hasIssuer,ex:issuer_154
ex:coin_15630,nmo:hasIssuer,ex:issuer_131
ex:coin_15630,nmo:hasPortrait,ex:person_41
ex:coin_15633,nmo:hasIssuer,ex:issuer_131
ex:coin_15633,nmo:hasIssuer,ex:issuer_154
ex:coin_15633,nmo:hasPortrait,ex:person_40
ex:coin_15721,nmo:hasIssuer,ex:issuer_154
ex:coin_15721,nmo:hasIssuer,ex:issuer_131
ex:coin_15721,nmo:hasPortrait,ex:person_40
ex:coin_15792,nmo:hasIssuer,ex:issuer_131
ex:coin_15792,nmo:hasIssuer,ex:issuer_154
ex:coin_15792,nmo:hasPortrait,ex:person_41
ex:coin_15817,nmo:hasIssuer,ex:issuer_154
ex:coin_15817,nmo:hasIssuer,ex:issuer_131
ex:coin_15817,nmo:hasPortrait,ex:person_41
ex:coin_16321,nmo:hasIssuer,ex:issuer_131
ex:coin_16321,nmo:hasIssuer,ex:issuer_154
ex:coin_16321,nmo:hasPortrait,ex:person_41
ex:coin_16349,nmo:hasIssuer,ex:issuer_154
ex:coin_16349,nmo:hasIssuer,ex:issuer_131
ex:coin_16349,nmo:hasPortrait,ex:person_41
ex:coin_16378,nmo:hasIssuer,ex:issuer_131
ex:coin_16378,nmo:hasIssuer,ex:issuer_154
ex:coin_16378,nmo:hasPortrait,ex:person_41
ex:coin_16390,nmo:hasIssuer,ex:issuer_131
ex:coin_16390,nmo:hasIssuer,ex:issuer_154
ex:coin_16390,nmo:hasPortrait,ex:person_40
ex:coin_16403,nmo:hasIssuer,ex:issuer_131
ex:coin_16403,nmo:hasIssuer,ex:issuer_154
ex:coin_16403,nmo:hasPortrait,ex:person_40
ex:coin_16407,nmo:hasIssuer,ex:issuer_131
ex:coin_16407,nmo:hasIssuer,ex:issuer_154
ex:coin_16407,nmo:hasPortrait,ex:person_40
ex:coin_16607,nmo:hasIssuer,ex:issuer_154
ex:coin_16607,nmo:hasIssuer,ex:issuer_131
ex:coin_16607,nmo:hasPortrait,ex:person_40
ex:coin_16758,nmo:hasIssuer,ex:issuer_131
ex:coin_16758,nmo:hasIssuer,ex:issuer_154
ex:coin_16758,nmo:hasPortrait,ex:person_41
ex:coin_16781,nmo:hasIssuer,ex:issuer_154
ex:coin_16781,nmo:hasIssuer,ex:issuer_131
ex:coin_16781,nmo:hasPortrait,ex:person_41
ex:coin_16787,nmo:hasIssuer,ex:issuer_131
ex:coin_16787,nmo:hasIssuer,ex:issuer_154
ex:coin_16787,nmo:hasPortrait,ex:person_41
ex:coin_16808,nmo:hasIssuer,ex:issuer_131
ex:coin_16808,nmo:hasIssuer,ex:issuer_154
ex:coin_16808,nmo:hasPortrait,ex:person_40
ex:coin_16809,nmo:hasIssuer,ex:issuer_154
ex:coin_16809,nmo:hasIssuer,ex:issuer_131
ex:coin_16809,nmo:hasPortrait,ex:person_41
ex:coin_16813,nmo:hasIssuer,ex:issuer_131
ex:coin_16813,nmo:hasIssuer,ex:issuer_154
ex:coin_16813,nmo:hasPortrait,ex:person_41
ex:coin_16822,nmo:hasIssuer,ex:issuer_154
ex:coin_16822,nmo:hasIssuer,ex:issuer_131
ex:coin_16822,nmo:hasPortrait,ex:person_40
ex:coin_16824,nmo:hasIssuer,ex:issuer_154
ex:coin_16824,nmo:hasIssuer,ex:issuer_131
ex:coin_16824,nmo:hasPortrait,ex:person_40
ex:coin_16864,nmo:hasIssuer,ex:issuer_154
ex:coin_16864,nmo:hasIssuer,ex:issuer_131
ex:coin_16864,nmo:hasPortrait,ex:person_40
ex:coin_17209,nmo:hasIssuer,ex:issuer_154
ex:coin_17209,nmo:hasIssuer,ex:issuer_131
ex:coin_17209,nmo:hasPortrait,ex:person_41
