s,o,p
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_30216,ex:issuer_131,nmo:hasIssuer
ex:coin_30216,ex:issuer_150,nmo:hasIssuer
ex:coin_30216,ex:issuer_152,nmo:hasIssuer
ex:coin_30216,ex:person_33,nmo:hasPortrait
ex:coin_30216,ex:person_36,nmo:hasPortrait
ex:coin_30216,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:person_36,ex:issuer_152,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_150,ex:person_33,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_36,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_43,ex:inPossibleIssuersOf
ex:coin_32793,ex:issuer_131,nmo:hasIssuer
ex:coin_32793,ex:issuer_189,nmo:hasIssuer
ex:coin_32793,ex:person_38,nmo:hasPortrait
ex:coin_32793,ex:person_175,nmo:hasPortrait
ex:coin_32793,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_33078,ex:issuer_131,nmo:hasIssuer
ex:coin_33078,ex:issuer_189,nmo:hasIssuer
ex:coin_33078,ex:person_38,nmo:hasPortrait
ex:coin_33078,ex:person_175,nmo:hasPortrait
ex:coin_33078,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_33257,ex:issuer_131,nmo:hasIssuer
ex:coin_33257,ex:issuer_150,nmo:hasIssuer
ex:coin_33257,ex:issuer_151,nmo:hasIssuer
ex:coin_33257,ex:person_33,nmo:hasPortrait
ex:coin_33257,ex:person_34,nmo:hasPortrait
ex:coin_33257,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:person_34,ex:issuer_151,ex:hasPossibleIssuers
ex:person_34,ex:issuer_161,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
