s,o,p
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_9815,ex:issuer_131,nmo:hasIssuer
ex:coin_9815,ex:issuer_152,nmo:hasIssuer
ex:coin_9815,ex:uncertain,nmo:hasIssuer
ex:coin_9815,ex:person_36,nmo:hasPortrait
ex:coin_9815,ex:uncertain,nmo:hasPortrait
ex:person_36,ex:issuer_152,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_36,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_152,ex:person_43,ex:inPossibleIssuersOf
ex:coin_28484,ex:issuer_131,nmo:hasIssuer
ex:coin_28484,ex:issuer_150,nmo:hasIssuer
ex:coin_28484,ex:uncertain,nmo:hasIssuer
ex:coin_28484,ex:person_33,nmo:hasPortrait
ex:coin_28484,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_150,ex:person_33,ex:inPossibleIssuersOf
ex:coin_28591,ex:issuer_131,nmo:hasIssuer
ex:coin_28591,ex:issuer_150,nmo:hasIssuer
ex:coin_28591,ex:uncertain,nmo:hasIssuer
ex:coin_28591,ex:person_33,nmo:hasPortrait
ex:coin_28591,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_150,ex:person_33,ex:inPossibleIssuersOf
ex:coin_29041,ex:issuer_131,nmo:hasIssuer
ex:coin_29041,ex:issuer_154,nmo:hasIssuer
ex:coin_29041,ex:uncertain,nmo:hasIssuer
ex:coin_29041,ex:person_41,nmo:hasPortrait
ex:coin_29041,ex:uncertain,nmo:hasPortrait
ex:person_41,ex:issuer_151,ex:hasPossibleIssuers
ex:person_41,ex:issuer_152,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30082,ex:issuer_131,nmo:hasIssuer
ex:coin_30082,ex:issuer_154,nmo:hasIssuer
ex:coin_30082,ex:uncertain,nmo:hasIssuer
ex:coin_30082,ex:person_41,nmo:hasPortrait
ex:coin_30082,ex:uncertain,nmo:hasPortrait
ex:person_41,ex:issuer_151,ex:hasPossibleIssuers
ex:person_41,ex:issuer_152,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_30205,ex:issuer_131,nmo:hasIssuer
ex:coin_30205,ex:issuer_154,nmo:hasIssuer
ex:coin_30205,ex:uncertain,nmo:hasIssuer
ex:coin_30205,ex:person_38,nmo:hasPortrait
ex:coin_30205,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
